cust_id,lookalikes
C0001,"[{'cust_id': 'C0152', 'score': 0.9801}, {'cust_id': 'C0174', 'score': 0.9248}, {'cust_id': 'C0011', 'score': 0.919}]"
C0002,"[{'cust_id': 'C0083', 'score': 0.8763}, {'cust_id': 'C0071', 'score': 0.8724}, {'cust_id': 'C0060', 'score': 0.86}]"
C0003,"[{'cust_id': 'C0129', 'score': 0.8299}, {'cust_id': 'C0031', 'score': 0.8102}, {'cust_id': 'C0190', 'score': 0.7625}]"
C0004,"[{'cust_id': 'C0165', 'score': 0.9828}, {'cust_id': 'C0099', 'score': 0.9212}, {'cust_id': 'C0108', 'score': 0.917}]"
C0005,"[{'cust_id': 'C0159', 'score': 0.9968}, {'cust_id': 'C0150', 'score': 0.9251}, {'cust_id': 'C0007', 'score': 0.9165}]"
C0006,"[{'cust_id': 'C0187', 'score': 0.8742}, {'cust_id': 'C0158', 'score': 0.8287}, {'cust_id': 'C0168', 'score': 0.7925}]"
C0007,"[{'cust_id': 'C0159', 'score': 0.9303}, {'cust_id': 'C0005', 'score': 0.9165}, {'cust_id': 'C0176', 'score': 0.8386}]"
C0008,"[{'cust_id': 'C0093', 'score': 0.8854}, {'cust_id': 'C0024', 'score': 0.8796}, {'cust_id': 'C0090', 'score': 0.8728}]"
C0009,"[{'cust_id': 'C0014', 'score': 0.9296}, {'cust_id': 'C0097', 'score': 0.9236}, {'cust_id': 'C0060', 'score': 0.9211}]"
C0010,"[{'cust_id': 'C0199', 'score': 0.9626}, {'cust_id': 'C0062', 'score': 0.9102}, {'cust_id': 'C0060', 'score': 0.9036}]"
C0011,"[{'cust_id': 'C0107', 'score': 0.9796}, {'cust_id': 'C0001', 'score': 0.919}, {'cust_id': 'C0152', 'score': 0.8656}]"
C0012,"[{'cust_id': 'C0013', 'score': 0.9585}, {'cust_id': 'C0195', 'score': 0.921}, {'cust_id': 'C0087', 'score': 0.9162}]"
C0013,"[{'cust_id': 'C0087', 'score': 0.9744}, {'cust_id': 'C0012', 'score': 0.9585}, {'cust_id': 'C0126', 'score': 0.8881}]"
C0014,"[{'cust_id': 'C0097', 'score': 0.9496}, {'cust_id': 'C0186', 'score': 0.9477}, {'cust_id': 'C0033', 'score': 0.9369}]"
C0015,"[{'cust_id': 'C0058', 'score': 0.9688}, {'cust_id': 'C0186', 'score': 0.9219}, {'cust_id': 'C0123', 'score': 0.9133}]"
C0016,"[{'cust_id': 'C0183', 'score': 0.9665}, {'cust_id': 'C0026', 'score': 0.8664}, {'cust_id': 'C0117', 'score': 0.7629}]"
C0017,"[{'cust_id': 'C0075', 'score': 0.9368}, {'cust_id': 'C0093', 'score': 0.8804}, {'cust_id': 'C0090', 'score': 0.8723}]"
C0018,"[{'cust_id': 'C0138', 'score': 0.8739}, {'cust_id': 'C0046', 'score': 0.8195}, {'cust_id': 'C0026', 'score': 0.8067}]"
C0019,"[{'cust_id': 'C0010', 'score': 0.8927}, {'cust_id': 'C0199', 'score': 0.8607}, {'cust_id': 'C0060', 'score': 0.7639}]"
C0020,"[{'cust_id': 'C0110', 'score': 0.9609}, {'cust_id': 'C0078', 'score': 0.957}, {'cust_id': 'C0080', 'score': 0.9556}]"
